Time,Right sensor values,Left sensor values,Grip Position,Robot State,Robot joint positions
2022-01-07 10:59:21.797731,0.07392156862745097,0.3070588235294117,0,0,"[97.6459, -1.740832, 114.6326, -23.48555, 89.83, 98.19055]"
2022-01-07 10:59:21.806035,0.07392156862745097,0.3070588235294117,0,0,"[97.6459, -1.740832, 114.6326, -23.48555, 89.83, 98.19055]"
2022-01-07 10:59:21.819782,0.07392156862745097,0.26156862745098036,0,0,"[97.6459, -1.740832, 114.6326, -23.48555, 89.83, 98.19055]"
2022-01-07 10:59:21.827833,0.07392156862745097,0.26156862745098036,0,0,"[97.6459, -1.740832, 114.6326, -23.48555, 89.83, 98.19055]"
2022-01-07 10:59:21.840671,0.06823529411764706,0.26156862745098036,0,0,"[97.6459, -1.740832, 114.6326, -23.48555, 89.83, 98.19055]"
2022-01-07 10:59:21.846915,0.06823529411764706,0.27862745098039216,0,0,"[97.6459, -1.740832, 114.6326, -23.48555, 89.83, 98.19055]"
2022-01-07 10:59:21.856251,0.06823529411764706,0.27862745098039216,0,0,"[97.6459, -1.740832, 114.6326, -23.48555, 89.83, 98.19055]"
2022-01-07 10:59:21.869580,0.06823529411764706,0.27862745098039216,0,0,"[97.6459, -1.740832, 114.6326, -23.48555, 89.83, 98.19055]"
2022-01-07 10:59:21.877158,0.07392156862745097,0.5458823529411765,0,0,"[97.6459, -1.740832, 114.6326, -23.48555, 89.83, 98.19055]"
2022-01-07 10:59:21.887350,0.07392156862745097,0.5458823529411765,0,0,"[97.6459, -1.740832, 114.6326, -23.48555, 89.83, 98.19055]"
2022-01-07 10:59:21.897472,0.07392156862745097,0.5458823529411765,0,0,"[97.6459, -1.740832, 114.6326, -23.48555, 89.83, 98.19055]"
2022-01-07 10:59:21.906249,0.07392156862745097,0.5458823529411765,0,0,"[97.6459, -1.740832, 114.6326, -23.48555, 89.83, 98.19055]"
2022-01-07 10:59:21.921738,0.07392156862745097,0.47764705882352937,0,0,"[97.6459, -1.740832, 114.6326, -23.48555, 89.83, 98.19055]"
2022-01-07 10:59:21.930290,0.07392156862745097,0.47764705882352937,0,0,"[97.6459, -1.740832, 114.6326, -23.48555, 89.83, 98.19055]"
2022-01-07 10:59:21.944103,0.07392156862745097,0.47764705882352937,0,0,"[97.6459, -1.740832, 114.6326, -23.48555, 89.83, 98.19055]"
2022-01-07 10:59:21.951218,0.07392156862745097,0.3752941176470588,0,0,"[97.6459, -1.740832, 114.6326, -23.48555, 89.83, 98.19055]"
2022-01-07 10:59:21.963560,0.07392156862745097,0.3752941176470588,0,0,"[97.6459, -1.740832, 114.6326, -23.48555, 89.83, 98.19055]"
